会社名,部署,担当者,事業内容,課題仮説,HP,フォームURL
株式会社MIERUNE,開発部,ご担当者,Webアプリ・サービス運営（その他IT・デザイン・ITコンサル）を手がける企業。本社北海道。従業員20人以上50人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。クライアント案件でフロントエンド要員を求められても、自社で供給しきれないケースがある。,https://www.mierune.co.jp/about,https://www.mierune.co.jp/hp/mieruneinfo_contact
Bleaf株式会社,開発部,ご担当者,Webアプリ・サービス運営を手がける企業。本社東京都。従業員20人以上50人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,https://bleaf.co.jp/,https://bleaf.co.jp/contact/
メトロエンジン株式会社,開発部,ご担当者,Webアプリ・サービス運営（ITコンサル・電子機器）を手がける企業。本社東京都。従業員20人以上50人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。クライアント案件でフロントエンド要員を求められても、自社で供給しきれないケースがある。,https://info.metroengines.jp/about,https://info.metroengines.jp/contact
Link‐Uグループ株式会社,開発部,ご担当者,Webアプリ・サービス運営（その他サービス）を手がける企業。本社東京都。従業員20人以上50人未満。売上規模10億円以上50億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,https://www.link-u.co.jp,https://www.link-u.co.jp/contact/
株式会社ALiNKインターネット,開発部,ご担当者,Webアプリ・サービス運営を手がける企業。本社東京都。従業員20人以上50人未満。売上規模10億円以上50億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,https://www.alink.ne.jp/about/,https://www.alink.ne.jp/inquiry/
サグリ株式会社,開発部,ご担当者,Webアプリ・サービス運営（クラウド系/SaaS/ASPサービス・その他機械）を手がける企業。本社兵庫県。従業員20人以上50人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,https://sagri.tokyo/about/company/,https://sagri.tokyo/contact/
株式会社ビーライズ,開発部,ご担当者,Webアプリ・サービス運営（動画制作・CG制作・バッグ・装飾品・デザイン）を手がける企業。本社広島県。従業員20人以上50人未満。売上規模10億円以上50億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,https://berise.co.jp/company/,http://www.berise.co.jp/contact/
株式会社Finatextホールディングス,開発部,ご担当者,Webアプリ・サービス運営（その他IT・資産運用コンサル・その他金融関連サービス）を手がける企業。本社東京都。従業員20人以上50人未満。売上規模50億円以上300億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,https://finatext.com/fn/about,https://hd.finatext.com/contact/?entity=株式会社Finatext
株式会社LCL,開発部,ご担当者,Webアプリ・サービス運営（その他外食）を手がける企業。本社東京都。従業員20人以上50人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,https://www.lclco.com/company/,https://www.lclco.com/contact/
株式会社Synk,開発部,ご担当者,Webアプリ・サービス運営を手がける企業。本社東京都。従業員20人以上50人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,http://www.synk.co.jp/,http://www.synk.co.jp/contact.html
株式会社Xpotential,開発部,ご担当者,Webアプリ・サービス運営を手がける企業。本社東京都。従業員20人以上50人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,https://www.enablement.app,https://www.enablement.app/contact/
ライフログテクノロジー株式会社,開発部,ご担当者,Webアプリ・サービス運営（クラウド系/SaaS/ASPサービス・その他医療・福祉）を手がける企業。本社東京都。従業員20人以上50人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,https://www.calomeal.com/company.html,https://calomeal.com/form
BackofficeForce株式会社,開発部,ご担当者,クラウド系/SaaS/ASPサービス（人材派遣）を手がける企業。本社東京都。従業員20人以上50人未満。売上規模3億円以上10億円未満。,顧客要望による管理画面・ダッシュボードの機能追加が続き、フロントエンドの改修がバックログに積み上がっている。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。クライアント案件でフロントエンド要員を求められても、自社で供給しきれないケースがある。,https://grancers-group.com/,https://backofficeforce.jp/contact/
ベルフェイス株式会社,開発部,ご担当者,Webアプリ・サービス運営（その他コンサル・ITコンサル・販促コンサル）を手がける企業。本社東京都。従業員20人以上50人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。クライアント案件でフロントエンド要員を求められても、自社で供給しきれないケースがある。,https://corp.bell-face.com/,https://corp.bell-face.com/contact/
アグリノート株式会社,開発部,ご担当者,Webアプリ・サービス運営（その他コンサル）を手がける企業。本社新潟県。従業員20人以上50人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,https://water-cell.jp/about/,http://water-cell.jp/contact/
ルネッサンスルパン株式会社,開発部,ご担当者,Webアプリ・サービス運営（IT系教育・受託開発・塾・予備校）を手がける企業。本社岩手県。従業員20人以上50人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。受託案件の波で稼働が上下し、繁忙期だけ経験者を確保する手段がない。,http://r-lupin.co.jp,http://r-lupin.co.jp/contact/contactform.html
住宅ソリューションズ株式会社,開発部,ご担当者,Webアプリ・サービス運営（コンテンツ制作・動画制作・CG制作）を手がける企業。本社東京都。従業員20人以上50人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,https://housol.com/about.html,https://housol.com/form/inquiry2.html
株式会社ArtPlay,開発部,ご担当者,ゲーム開発を手がける企業。本社東京都。従業員20人以上50人未満。売上規模3億円以上10億円未満。,ゲーム本体の開発にエンジニアを集中させたい一方、公式サイト・運営管理ツール・Web版の改修が後回しになりやすい。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,https://artplay.co.jp/about,https://artplay.co.jp/contact/
株式会社おいしい健康,開発部,ご担当者,Webアプリ・サービス運営を手がける企業。本社東京都。従業員20人以上50人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,https://corp.oishi-kenko.com/company.html,https://corp.oishi-kenko.com/contact.html
株式会社Diverse,開発部,ご担当者,Webアプリ・サービス運営（ブライダル）を手がける企業。本社東京都。従業員20人以上50人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,https://diverse-inc.co.jp/about,https://diverse-inc.co.jp/contact
Nature株式会社,開発部,ご担当者,クラウド系/SaaS/ASPサービス（その他機械）を手がける企業。本社神奈川県。従業員20人以上50人未満。売上規模3億円以上10億円未満。,顧客要望による管理画面・ダッシュボードの機能追加が続き、フロントエンドの改修がバックログに積み上がっている。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,https://nature.global/about/,https://nature.global/contact/
株式会社Ginco,開発部,ご担当者,クラウド系/SaaS/ASPサービス（その他IT）を手がける企業。本社東京都。従業員20人以上50人未満。売上規模10億円以上50億円未満。,顧客要望による管理画面・ダッシュボードの機能追加が続き、フロントエンドの改修がバックログに積み上がっている。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,https://ginco.co.jp/,https://ginco.co.jp/contact
株式会社ACTY Power,情報システム部,ご担当者,医療機器を手がける企業。本社滋賀県。従業員20人以上50人未満。売上規模3億円以上10億円未満。,製品情報サイトや顧客向けポータル、社内システムのWeb化を進めたいが、社内にフロントエンド開発の専任者がおらず外注先の品質もばらつく。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,http://www.actypower.co.jp/index.html,http://www.actypower.co.jp/contact/index.html
SAVAWAY株式会社,開発部,ご担当者,Webアプリ・サービス運営を手がける企業。本社東京都。従業員20人以上50人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,https://savaway.co.jp/,https://commerce-star.com/form/inquiry/index.php
ネクストライブ株式会社,開発部,ご担当者,Webアプリ・サービス運営（その他IT）を手がける企業。本社大阪府。従業員20人以上50人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,https://nextribe.co.jp/company/,http://nextribe.co.jp/contact/business
株式会社コンステラセキュリティジャパン,開発部,ご担当者,Webアプリ・サービス運営を手がける企業。本社東京都。従業員20人以上50人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,https://constella-sec.jp/company/,https://form.k3r.jp/terilogyworx/2020003
株式会社アセットメント,開発部,ご担当者,Webアプリ・サービス運営（ITコンサル）を手がける企業。本社東京都。従業員20人以上50人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。クライアント案件でフロントエンド要員を求められても、自社で供給しきれないケースがある。,https://www.assetment.net/,https://www.assetment.net/contact/
バイオメディカ・ソリューション株式会社,情報システム部,ご担当者,医療機器（業務請負・試験機）を手がける企業。本社大阪府。従業員20人以上50人未満。売上規模3億円以上10億円未満。,製品情報サイトや顧客向けポータル、社内システムのWeb化を進めたいが、社内にフロントエンド開発の専任者がおらず外注先の品質もばらつく。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,https://www.bio-ms.com/company/,http://www.bio-ms.com/contact
株式会社ネイリー,開発部,ご担当者,Webアプリ・サービス運営を手がける企業。本社東京都。従業員20人以上50人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,https://nailie.jp/company,https://nailie.jp/contact
株式会社ユニテラティ,開発部,ご担当者,Webアプリ・サービス運営（ソフトウェア販売・受託開発・ITコンサル）を手がける企業。本社北海道。従業員20人以上50人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。受託案件の波で稼働が上下し、繁忙期だけ経験者を確保する手段がない。,http://www.uniteraty.com/index.html,http://www.uniteraty.com/contact.html
株式会社Fleekdrive,開発部,ご担当者,Webアプリ・サービス運営（クラウド系/SaaS/ASPサービス・デジタル系コンテンツ）を手がける企業。本社東京都。従業員20人以上50人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,https://www.fleekdrive.co.jp/company/,https://www.fleekdrive.co.jp/contact/
株式会社スリーディー,開発部,ご担当者,Webアプリ・サービス運営（コンテンツ制作・医療機器・バッグ・装飾品）を手がける企業。本社神奈川県。従業員20人以上50人未満。売上規模10億円以上50億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,https://www.ddd.co.jp/company/,https://www.ddd.co.jp/contact/
ネクスメッドインターナショナル株式会社,情報システム部,ご担当者,医療機器を手がける企業。本社千葉県。従業員20人以上50人未満。売上規模10億円以上50億円未満。,製品情報サイトや顧客向けポータル、社内システムのWeb化を進めたいが、社内にフロントエンド開発の専任者がおらず外注先の品質もばらつく。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,https://www.nexmed.co.jp/corporate/index.html,http://www.nexmed.co.jp/contact/index.html
イー・アソシエイツ株式会社,開発部,ご担当者,クラウド系/SaaS/ASPサービス（Webアプリ・サービス運営）を手がける企業。本社東京都。従業員20人以上50人未満。売上規模3億円以上10億円未満。,顧客要望による管理画面・ダッシュボードの機能追加が続き、フロントエンドの改修がバックログに積み上がっている。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,https://choruscallasia.com/,https://www.choruscallasia.com/contact
株式会社スポーツITソリューション,開発部,ご担当者,Webアプリ・サービス運営（デジタル系コンテンツ）を手がける企業。本社東京都。従業員20人以上50人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,https://sportie.com/company,https://www.sports-it.jp/contact/
株式会社コアモバイル,開発部,ご担当者,Webアプリ・サービス運営（ITインフラストラクチャー・Webアプリ・サービス運営）を手がける企業。本社東京都。従業員20人以上50人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,https://www.coremobile.co.jp/about-us/,https://www.coremobile.co.jp/contact/index.php
ハーチ株式会社,開発部,ご担当者,Webアプリ・サービス運営を手がける企業。本社東京都。従業員20人以上50人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,https://harch.jp/,https://harch.jp/contact
abs株式会社,開発部,ご担当者,クラウド系/SaaS/ASPサービスを手がける企業。本社埼玉県。従業員20人以上50人未満。売上規模10億円以上50億円未満。,顧客要望による管理画面・ダッシュボードの機能追加が続き、フロントエンドの改修がバックログに積み上がっている。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,https://www.abs-inc.jp/,https://www.abs-inc.jp/contact/
株式会社エストリンクス,開発部,ご担当者,Webアプリ・サービス運営（コンテンツ制作・その他IT・その他広告・制作）を手がける企業。本社静岡県。従業員20人以上50人未満。売上規模10億円以上50億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。受託案件の波で稼働が上下し、繁忙期だけ経験者を確保する手段がない。,https://estlinks.co.jp/,http://estlinks.net/contact.html
株式会社レッツエンジョイ東京,開発部,ご担当者,Webアプリ・サービス運営を手がける企業。本社東京都。従業員20人以上50人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,https://www.enjoytokyo.jp/,https://www.enjoytokyo.jp/form/contact/
株式会社360Channel,開発部,ご担当者,Webアプリ・サービス運営（経営コンサル）を手がける企業。本社東京都。従業員20人以上50人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,http://corp.360ch.tv/company.html,https://corp.360ch.tv/contact.html
ピンタレスト・ジャパン合同会社,開発部,ご担当者,Webアプリ・サービス運営（販促コンサル）を手がける企業。本社東京都。従業員20人以上50人未満。売上規模10億円以上50億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,https://www.pinterest.com,https://newsroom.pinterest.com/ja/contact/
株式会社アイスマイリー,開発部,ご担当者,Webアプリ・サービス運営（セミナー・経営コンサル・ITコンサル）を手がける企業。本社東京都。従業員20人以上50人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。クライアント案件でフロントエンド要員を求められても、自社で供給しきれないケースがある。,https://aismiley.co.jp/company/,https://aismiley.co.jp/
株式会社Senホールディングス,開発部,ご担当者,Webアプリ・サービス運営（組織コンサル）を手がける企業。本社広島県。従業員20人以上50人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,https://sen-holdings.co.jp/,https://aismiley.co.jp/inquire/
GMOコイン株式会社,開発部,ご担当者,クラウド系/SaaS/ASPサービスを手がける企業。本社東京都。従業員20人以上50人未満。売上規模3億円以上10億円未満。,顧客要望による管理画面・ダッシュボードの機能追加が続き、フロントエンドの改修がバックログに積み上がっている。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,https://coin.z.com/jp/corp/about/company/,https://support.coin.z.com/hc/ja/requests/new
株式会社シナモン,開発部,ご担当者,Webアプリ・サービス運営（その他IT）を手がける企業。本社東京都。従業員20人以上50人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,http://cinnamon.is,https://go.cinnamon.ai/inquiry.html
株式会社サマリー,開発部,ご担当者,Webアプリ・サービス運営（その他運輸・物流）を手がける企業。本社東京都。従業員20人以上50人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,https://sumally.co.jp/,https://sumally.com/about/contact
セグエグループ株式会社,技術部,ご担当者,情報セキュリティを手がける企業。本社東京都。従業員20人以上50人未満。売上規模50億円以上300億円未満。,管理コンソールやダッシュボードのUIが製品評価に直結するのに、セキュリティ専門のエンジニアがUI実装まで抱えており開発が詰まりやすい。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,https://segue-g.jp/company/basic/index.html,https://segue-g.jp/contact/company/
株式会社プレシジョン,開発部,ご担当者,Webアプリ・サービス運営（AI）を手がける企業。本社東京都。従業員20人以上50人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,https://www.premedi.co.jp/company/,https://www.premedi.co.jp/contact/
株式会社AREA35,開発部,ご担当者,ゲーム開発（玩具・翻訳・通訳・ゲーム・アニメデザイン）を手がける企業。本社東京都。従業員20人以上50人未満。売上規模3億円以上10億円未満。,ゲーム本体の開発にエンジニアを集中させたい一方、公式サイト・運営管理ツール・Web版の改修が後回しになりやすい。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,https://area35east.com/,https://area35east.com/home/#contact
株式会社ファルモ,開発部,ご担当者,Webアプリ・サービス運営（人材紹介・人材派遣・クラウド系/SaaS/ASPサービス）を手がける企業。本社東京都。従業員20人以上50人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。クライアント案件でフロントエンド要員を求められても、自社で供給しきれないケースがある。,https://hp.pharumo.com,https://hp.pharumo.com/contact/
メイクリープス株式会社,開発部,ご担当者,クラウド系/SaaS/ASPサービス（クレジット・決済代行・Webアプリ・サービス運営）を手がける企業。本社東京都。従業員20人以上50人未満。売上規模50億円以上300億円未満。,顧客要望による管理画面・ダッシュボードの機能追加が続き、フロントエンドの改修がバックログに積み上がっている。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,https://www.makeleaps.com/about-us/,https://www.makeleaps.jp/plan-contact/
株式会社Ui2,開発部,ご担当者,Webアプリ・サービス運営（eコマース・その他コンサル）を手がける企業。本社東京都。従業員20人以上50人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。セール時期や表示速度の改善など、フロントエンドの品質が売上に直結する。,https://www.ui2.co.jp/company/profile/,https://www.ui2.co.jp/contact/
株式会社TwoFive,技術部,ご担当者,情報セキュリティを手がける企業。本社東京都。従業員20人以上50人未満。売上規模3億円以上10億円未満。,管理コンソールやダッシュボードのUIが製品評価に直結するのに、セキュリティ専門のエンジニアがUI実装まで抱えており開発が詰まりやすい。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,https://www.twofive25.com/company/overview.html,https://www.twofive25.com/contact/
株式会社ハックルベリー,開発部,ご担当者,Webアプリ・サービス運営を手がける企業。本社東京都。従業員20人以上50人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,https://huckleberry-inc.com/about,https://huckleberry-inc.com/contact
株式会社ISD,開発部,ご担当者,Webアプリ・サービス運営を手がける企業。本社北海道。従業員20人以上50人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,https://www.isd.cnt.co.jp/,http://www.isd.cnt.co.jp/contact.html
株式会社Doctorbook,開発部,ご担当者,Webアプリ・サービス運営（クラウド系/SaaS/ASPサービス・その他医療・福祉・デジタル系コンテンツ）を手がける企業。本社東京都。従業員20人以上50人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。受託案件の波で稼働が上下し、繁忙期だけ経験者を確保する手段がない。,https://doctorbook.co.jp,https://doctorbook.co.jp/contact/
オリコンNewS株式会社,開発部,ご担当者,Webアプリ・サービス運営（デジタル系コンテンツ）を手がける企業。本社東京都。従業員20人以上50人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,https://www.oricon.jp/corporate/profile/,https://secure.oricon.co.jp/contact/service/
株式会社ケーウェイズ,開発部,ご担当者,Webアプリ・サービス運営を手がける企業。本社神奈川県。従業員20人以上50人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,https://khwayz.jp/,http://www.khwayz.jp/contact.php
CyberArk Software株式会社,技術部,ご担当者,情報セキュリティ（ソフトウェア販売）を手がける企業。本社東京都。従業員20人以上50人未満。売上規模3億円以上10億円未満。,管理コンソールやダッシュボードのUIが製品評価に直結するのに、セキュリティ専門のエンジニアがUI実装まで抱えており開発が詰まりやすい。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。,https://www.cyberark.com/ja/company/office-locations/,https://www.cyberark.com/ja/contact/
株式会社できるくん,開発部,ご担当者,Webアプリ・サービス運営（デザイン・受託開発・デジタル系コンテンツ）を手がける企業。本社東京都。従業員20人以上50人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。受託案件の波で稼働が上下し、繁忙期だけ経験者を確保する手段がない。,https://utill.co.jp/company/info/,https://utill.co.jp/contact/
株式会社ジェネリー,開発部,ご担当者,Webアプリ・サービス運営（デジタル系コンテンツ・CM制作・映像制作・その他IT）を手がける企業。本社東京都。従業員20人以上50人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。プロダクトの成長期で、React/Vueへの刷新やSPA化を控えているが、中途採用市場でフロントエンド経験者が採れていない。受託案件の波で稼働が上下し、繁忙期だけ経験者を確保する手段がない。,https://www.genery.co.jp/,https://www.genery.co.jp/contact
